Indicator,Total number of pregnant women Registered for ANC,% 1st Trimester registration to Total ANC Registrations,Number of Pregnant Women having Hb level<11 (tested cases),% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Number of C-section deliveries conducted at public facilities,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries,% C-sections conducted at Private facilities to Deliveries conducted at private facilities,% Live Births to Total Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Number of PW tested positive for GDM,Number of pregnant women tested for Syphilis,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,% Laparoscopic sterlisations to Total Female Sterilisations,Total cases of deaths following Sterlisation ( Male + Female),Total cases of failure following Female Sterlisation,Total Interval IUCD Insertions done,Number of Infants given OPV 0 (Birth Dose),Number of Infants given Hep- B0 (birth dose),% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Deaths),% immunisation Sessions Held to Immunisation Sessions Planned,% Female HIV Positive to Total Females Tested,% Plasmodium Vivax test positive to Total Blood Smears Examined
Dima Hasao,4986,67.6,3553,13.9,2597,27.0,2633,585,23.2,69.4,98.3,98.1,7.7,16.2,0,1196,0.0,0.0,0,0,470,2660,2177,52.2,0,94.1,0.0,0.1
Goalpara,26115,89.8,21029,36.0,21386,74.0,23285,1913,14.6,78.8,99.3,98.0,12.9,9.4,0,6989,171.0,61.0,1,9,3574,12568,11760,36.8,0,97.2,0.1,0.0
Golaghat,18441,85.9,16340,18.1,12188,852.0,15010,1627,19.0,43.5,98.4,98.0,12.3,5.5,0,1888,0.0,70.6,0,0,1623,11229,10604,51.0,1,99.5,0.3,0.0
Hailakandi,18345,80.6,11319,29.1,10020,,10020,52,0.5,,97.9,97.2,10.5,12.2,19,1769,,100.0,0,0,3991,6609,6466,65.5,0,98.2,0.2,0.3
Jorhat,22667,93.1,13664,44.2,12452,12.0,16473,4183,42.3,69.1,97.8,98.1,19.1,14.4,0,11462,11.0,69.7,0,0,2656,12916,10403,86.1,2,97.9,0.5,0.0
Kamrup M,31905,88.1,16498,68.3,25385,492.0,37561,11803,50.3,58.3,97.2,97.1,14.8,30.5,26,5633,129.0,23.5,0,0,1479,21863,20237,65.0,0,99.4,0.5,0.0
Kamrup R,32524,92.7,30000,50.2,19045,0.0,20322,2168,14.5,61.6,99.4,99.0,17.0,8.4,0,14691,0.0,72.6,0,4,5252,11068,10521,57.6,0,99.0,0.3,0.0
Karbi Anglong,23435,75.3,7972,83.2,14831,2.0,14837,912,6.1,0.0,98.4,98.0,7.4,1.5,4,2538,0.0,0.0,0,0,3161,9237,7771,52.6,0,98.5,0.8,0.2
Karimganj,32926,83.2,22466,35.9,15032,1330.0,18449,600,12.2,48.3,97.4,96.9,13.5,13.1,35,10481,144.0,86.2,0,0,1689,14136,13041,32.2,0,97.1,1.3,0.0
Kokrajhar,18429,73.2,14060,12.5,14070,491.0,14894,1415,14.2,84.7,99.7,97.5,14.5,3.8,0,5131,,20.5,0,0,1750,10870,10160,34.9,0,97.7,0.3,0.1
Lakhimpur,22071,89.0,17648,5.7,15958,623.0,17718,3147,23.4,56.4,99.0,98.1,14.0,2.8,0,4652,7.0,54.3,0,0,873,11967,8875,48.8,0,95.1,0.1,0.0
Marigaon,23973,80.2,10430,14.6,15592,0.0,15622,933,6.1,70.0,99.5,99.1,16.2,15.2,0,4160,,61.4,0,0,2187,8156,7630,72.3,0,96.5,0.2,0.0
Nagaon,67596,78.4,43157,37.3,43172,507.0,54703,2463,20.3,74.9,98.1,97.6,8.3,16.0,2,14139,881.0,34.6,0,2,6028,36831,34464,48.9,0,98.1,2.6,0.6
Nalbari,13312,93.1,6700,19.6,7835,0.0,12542,1028,36.7,75.9,99.8,99.1,15.4,9.8,1,5070,421.0,56.7,0,0,2103,10647,8383,54.0,0,99.5,0.0,0.0
Sibsagar,19673,89.8,29215,29.8,10476,259.0,13673,1472,20.6,42.2,98.8,98.2,18.2,17.1,0,5420,463.0,85.3,0,0,2164,10094,7376,59.1,0,99.0,0.1,0.0
Sonitpur,36512,90.2,30524,20.9,24456,862.0,30969,5184,27.8,52.4,93.1,98.2,15.5,9.7,0,11106,121.0,72.6,0,0,2994,18924,19998,54.2,1,96.7,0.3,0.0
Tinsukia,24062,80.2,19170,29.1,14138,1124.0,20532,3028,24.0,29.8,99.5,98.7,18.7,14.1,238,2841,40.0,72.6,0,0,1680,12107,8601,58.6,0,99.5,0.0,0.2
Udalguri,14497,84.7,12618,31.6,7437,734.0,8498,85,2.6,13.2,99.0,98.3,20.3,5.1,0,4528,17.0,87.7,0,0,2084,6488,5435,56.1,0,98.1,1.0,0.3
